17:28:45 - SELECTED OBJECT - parentCopy - SETSELECTEDOBJECT
17:28:48 - SELECTED OBJECT - Mail - SETSELECTEDOBJECT
17:28:50 - SELECTED OBJECT - Studyroom - SETSELECTEDOBJECT
17:28:50 - SELECTED OBJECT - Studyroom - SETSELECTEDOBJECT
17:28:52 - SELECTED OBJECT - Gamingroom - SETSELECTEDOBJECT
17:28:55 - SELECTED OBJECT - Slack - SETSELECTEDOBJECT
17:28:58 - SELECTED OBJECT - Word - SETSELECTEDOBJECT
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.30, -0.06, 0.78) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Slack - (0.19, -0.39, 0.55) - (-0.57524, -0.12979, 0.09306, -0.80225) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - MusicPlayer - (0.30, 0.19, 0.57) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Calendar - (0.47, 0.11, 0.39) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Research - (0.19, 0.64, 0.52) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Mail - (-0.42, -0.03, 0.38) - (0.11320, -0.06239, -0.00079, 0.99161) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Clock - (0.56, 0.24, 0.27) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Weather - (0.92, -0.52, 0.55) - (0.00000, 0.00000, 0.00000, 1.00000) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
17:29:00 - OBJECT POSITION - Word - (0.24, -0.08, 0.65) - (0.16803, -0.00686, -0.08293, 0.98226) - (1.00, 1.00, 1.00) - PLACECHILDOBJECTS
